diagnosis,admissions_count,los,los_avg
CHEST PAIN;CORONARY ARTERY DISEASE\CARDIAC CATHETERIZATION,1.0,7.0,7.0
CHEST PAIN;CORONARY ARTERY DISEASE\CATH,1.1818181818181819,6.636363636363637,6.318181818181818
CHEST PAIN;CORONARY ARTERY DISEASE\CATH/STENT PLACEMENT,1.0,9.0,9.0
CHEST PAIN;CORONARY ARTERY DISEASE\LEFT HEART CATH,1.0,6.0,6.0
CHEST PAIN;CORONARY ARTERY DISEASE\LEFT HEART CATHETERIZATION,1.0,5.0,5.0
CHEST PAIN;CORONARY ISCHEMIA,1.0,7.0,7.0
CHEST PAIN;DIABETIC KETOACIDOSIS;SUICIDAL IDEATION;TELEMETRY,1.0,4.0,4.0
CHEST PAIN;DYSPENIA\CORONARY ANGIOGRAM,1.0,6.0,6.0
CHEST PAIN;DYSPNEA,1.0,8.0,8.0
CHEST PAIN;DYSPNEA ON EXERTION;CORONARY ARTERY DISEASE\CARDIAC CATH,1.0,17.0,17.0
CHEST PAIN;DYSPNEA ON EXERTION\CARDIAC CATH,1.0,3.0,3.0
CHEST PAIN;DYSPNEA;CARDIAC ISCHEMIA\LEFT HEART CATHETERIZATION,1.0,5.0,5.0
CHEST PAIN;DYSPNEA;CORONARY ARTERY DISEASE\CARDIAC CATH,1.0,9.0,9.0
CHEST PAIN;DYSPNEA;R/O MYOCARDIAL INFARCTION\LEFT HEART CATHETERIZATION,1.0,18.0,18.0
CHEST PAIN;DYSPNEA\CARDIAC CATH,1.0,4.0,4.0
CHEST PAIN;DYSPNEA\CATH,1.0,4.0,4.0
CHEST PAIN;DYSPNEA\LEFT HEART CATHETERIZATION,1.0,4.0,4.0
CHEST PAIN;EKG CHANGES,3.0,7.0,5.666666666666667
CHEST PAIN;EKG CHANGES\CATH,1.0,8.0,8.0
CHEST PAIN;ELEVATED TROPONIN,1.0,2.0,2.0
CHEST PAIN;ELEVATED TROPONIN\CARDIAC CATH,1.0,10.0,10.0
CHEST PAIN;ETT,1.0,5.0,5.0
CHEST PAIN;GASTROINTESTINAL BLEED,3.0,6.0,12.333333333333334
CHEST PAIN;HEART FAILURE,4.0,26.0,13.5
CHEST PAIN;HEART FAILURE\CATH,1.0,5.0,5.0
CHEST PAIN;HYPERGLYCEMIA,4.0,18.0,7.0
CHEST PAIN;HYPERTENSION;CORONARY ARTERY DISEASE\CATH,1.0,11.0,11.0
CHEST PAIN;HYPERTENSION\LEFT HEART CATHETERIZATION,1.0,10.0,10.0
CHEST PAIN;HYPERTENSIVE EMERGENCY,2.0,3.0,2.5
CHEST PAIN;HYPOTENSION,12.0,5.0,12.75
CHEST PAIN;INFERIOR ISCHEMIA;MITRAL REGURGITATION\CARDIAC CATH;POSSIBLE ANGIOPLASTY,1.0,1.0,1.0
CHEST PAIN;LATERAL ISCHEMIA\CARDIAC CATH,1.0,13.0,13.0
CHEST PAIN;MITRAL REGURGITATION;ELEVATED CREATININE\CATH,1.0,25.0,25.0
CHEST PAIN;MYOCARDIAL INFARCTION,1.0,6.5,6.5
CHEST PAIN;MYOCARDIAL INFARCTION\CARDIAC CATHETERIZATION,1.0,3.0,3.0
CHEST PAIN;MYOCARDIAL INFARCTION\CATH,1.0,11.0,11.0
CHEST PAIN;MYOCARDIAL ISCHEMIA\CARDIAC CATH,1.0,8.0,8.0
CHEST PAIN;NON Q MI\CATH,1.0,27.0,27.0
CHEST PAIN;NON Q-WAVE MYOCARDIAL INFARCTION\CARDIAC CATH,1.0,8.0,8.0
CHEST PAIN;NON ST ELEVATION MI,1.0,8.0,8.0
CHEST PAIN;NON-Q WAVE MI,1.0,2.0,2.0
CHEST PAIN;NON-Q-WAVE MYOCARDIAL INFARCTION,1.0,0.0,0.0
CHEST PAIN;NON-Q-WAVE MYOCARDIAL INFARCTION\CARDIAC CATH,1.0,11.0,11.0
CHEST PAIN;NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION;ELEVATED TROPONIN\CARDIAC CATH,4.0,48.0,22.75
CHEST PAIN;PNA,3.0,3.0,7.0
CHEST PAIN;POSITIVE STRESS TEST,1.0,10.0,10.0
CHEST PAIN;POSITIVE STRESS TEST\CARDIAC CATH,1.0,27.0,27.0
CHEST PAIN;POSITIVE STRESS TEST\CATH,1.0,5.0,5.0
CHEST PAIN;POST INFARCT ANGINA\CATH,1.0,2.0,2.0
CHEST PAIN;PRIOR MYOCARDIAL INFARCTION\CARDIAC CATH,1.0,9.0,9.0
CHEST PAIN;PULMONARY EDEMA;ATNAL TACHYCARDIA,3.0,23.0,18.333333333333332
CHEST PAIN;R/O MI,1.0,4.0,4.0
CHEST PAIN;RAPID ATRIAL FIBRILLATION\CATH,1.0,5.0,5.0
CHEST PAIN;RENAL FAILURE,3.0,7.0,2.6666666666666665
CHEST PAIN;RENAL INSUFFICIENCY;ELEVATED CREATININE\CARDIAC CATH,1.0,5.0,5.0
CHEST PAIN;RENAL INSUFFICIENCY\LEFT HEART CATHETERIZATION,1.0,9.0,9.0
CHEST PAIN;RULE OUT CORONARY ARTERY DISEASE;ASPIRIN ALLERGY\LEFT HEART CATHETERIZATION,1.0,2.0,2.0
CHEST PAIN;RULE OUT CORONARY ARTERY DISEASE\CARDIAC CATH,1.0,10.0,10.0
CHEST PAIN;RULE OUT CORONARY ARTERY DISEASE\CATH,1.0,4.0,4.0
CHEST PAIN;RULE OUT CORONARY ARTERY DISEASE\LEFT HEART CATH,2.0,8.0,4.0
CHEST PAIN;RULE OUT CORONARY ARTERY DISEASE\LEFT HEART CATHETERIZATION,1.0,5.5,5.5
CHEST PAIN;RULE OUT TUBERCULOSIS,1.0,7.0,7.0
CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION,1.125,6.125,5.875
CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,1.25,9.75,9.6875
CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY;GI BLEED,3.0,5.0,6.333333333333333
CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY;HYPOTENSION,5.0,4.0,3.4
CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY\CATH,1.0,7.0,7.0
CHEST PAIN;S/P SEIZURE\CATH,1.0,17.0,17.0
CHEST PAIN;S/P VENTRICULAR FIBRILLATION,1.0,4.0,4.0
CHEST PAIN;SEPSIS,5.0,2.0,10.4
CHEST PAIN;SHORTNESS OF BREATH,2.5,7.0,12.083333333333334
CHEST PAIN;SHORTNESS OF BREATH;ABNORMAL STRESS TEST\CARDIAC CATH,1.0,13.0,13.0
CHEST PAIN;SHORTNESS OF BREATH\CATH,1.5,4.0,3.75
CHEST PAIN;SOB,1.0,9.0,9.0
CHEST PAIN;ST ELEVATED MYOCARDIAL INFARCTION,2.0,9.0,9.0
CHEST PAIN;STATUS POST CARDIAC ARREST\CATH,2.0,2.0,3.5
CHEST PAIN;SURGICAL REVASCULARIZATION\CATH,1.0,9.0,9.0
CHEST PAIN;SYNCOPE,1.0,12.0,12.0
CHEST PAIN;TELEMETRY,3.2666666666666666,7.3238095238095235,7.358368963747112
"CHEST PAIN;TELEMETRY,HYPOPHOSPHATEMIA",6.0,6.0,10.0
CHEST PAIN;TELEMETRY; GI BLEED,1.0,12.0,12.0
CHEST PAIN;TELEMETRY;? PARTIAL SBO,1.0,7.0,7.0
"CHEST PAIN;TELEMETRY;CATHERIZATION,CARDIAC",2.0,2.0,10.5
CHEST PAIN;TELEMETRY;CORONARY ARTERY DISEASE,1.0,4.0,4.0
CHEST PAIN;TELEMETRY;GI BLEED,9.0,7.0,8.222222222222221
CHEST PAIN;TELEMETRY;HYPOXIA,2.0,7.0,3.5
CHEST PAIN;TELEMETRY;MELENA,9.0,6.0,8.222222222222221
CHEST PAIN;TELEMETRY;PNEUMONIA,5.0,5.0,11.4
CHEST PAIN;TELEMETRY;POSSIBLE PERICARDITIS;FEVER,1.0,12.0,12.0
CHEST PAIN;TELEMETRY;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,1.0,2.0,2.0
CHEST PAIN;TELEMETRY;SHORTNESS OF BREATH;ACUTE MENTAL STATUS CHANGES,1.0,12.0,12.0
CHEST PAIN;TELEMETRY;TACHYCARDIA,2.0,3.0,2.5
CHEST PAIN;TELEMETRY;THROAT PAIN,1.0,4.0,4.0
CHEST PAIN;TIA,1.0,5.0,5.0
CHEST PAIN;UNSTABLE ANGINA,1.3333333333333333,4.0,4.333333333333333
CHEST PAIN;UNSTABLE ANGINA;TELEMETRY;+ETT\CATH,1.0,5.0,5.0
CHEST PAIN;UNSTABLE ANGINA\CATH,1.0,5.5,5.5
CHEST PAIN;VENTRICULAR TACHYCARDIA,2.0,2.0,9.0
CHEST PAIN;\CATH,1.0,6.0,6.0
CHEST PAIN\ANGIOPLASTY,2.0,41.0,23.0
CHEST PAIN\ANGIOPLASTY WITH BRACHY THERAPY,1.0,1.0,1.0
CHEST PAIN\ASPIRIN DESENSITIZATION;CATH,1.0,1.0,1.0
CHEST PAIN\CARDIAC CATH,1.0416666666666667,7.0,6.770833333333333
CHEST PAIN\CARDIAC CATHETERIZATION,1.1111111111111112,6.777777777777778,6.388888888888889
CHEST PAIN\CARDIAC CATHETREIZATION,1.0,10.0,10.0
CHEST PAIN\CATH,1.2694610778443114,7.485029940119761,7.293413173652695
CHEST PAIN\CORONARY ANGIOGRAM,1.0,10.0,10.0
CHEST PAIN\L HEART CATH,1.0,6.0,6.0
CHEST PAIN\LEFT HEART CATH,1.0,6.333333333333333,6.333333333333333
CHEST PAIN\LEFT HEART CATHETERIZATION,1.0909090909090908,8.727272727272727,8.590909090909092
CHEST PAIN\T,1.0,10.0,10.0
CHEST PAIT;+ETT\CATH,1.0,7.0,7.0
CHEST PVD,1.0,34.0,34.0
CHEST SARCOMA/SDA,2.0,5.0,4.5
CHEST STAB WOUND,1.0,9.0,9.0
CHEST STAB WOUNDS,1.0,2.0,2.0
CHEST TIGHTNESS\CATH,1.0,8.0,8.0
CHEST TRAUMA,1.3333333333333333,9.166666666666666,9.38888888888889
CHEST WALL ABSCESS,1.0,10.0,10.0
CHEST WALL HEMATOMA,1.0,10.0,10.0
CHEST WALL LESION,3.0,0.0,32.333333333333336
CHEST WALL PAIN,3.0,1.0,3.0
CHF,1.75,8.25,9.6125
CHF & ANKLE INFECTION,12.0,12.0,6.666666666666667
CHF CELLULITIS,4.0,5.0,7.5
CHF EXACERBATION,3.5,9.318181818181818,8.719696969696969
"CHF EXACERBATION,R/O MI",6.0,16.0,8.666666666666666
CHF EXACERBATION;END STAGE RENAL DISEASE,16.0,1.0,4.5625
CHF FLARE,4.0,29.0,13.0
CHF VS PNA,1.0,11.0,11.0
CHF VS;MULTIFOCAL PNA,1.0,16.0,16.0
"CHF, A-FIB",1.0,21.5,21.5
"CHF, AF, CARDIOMYOPATHY\LEAD EXTRACTION; BIVENTRICULAR IMPLANTABLE CARDIOVERTER DEFIBRILLATOR/SDA",1.0,5.0,5.0
"CHF, AFIB",1.0,7.0,7.0
"CHF, CHEST PAIN",1.0,11.0,11.0
"CHF, HYPOGLYCEMIA",3.0,4.0,10.333333333333334
"CHF, LEFT VENTRICULAR LEAD CAUSING DIAPHRAGMATIC STIMULATION S/P ICD IMPLANT\LEFT VENTRICULAR LEAD REVISION **REMOTE WEST** /SDA",2.0,0.0,2.5
"CHF, MENTAL STATUS CHANGES",2.0,38.0,30.5
"CHF, PNEUMONIA",7.5,6.0,7.75
"CHF, R/O MI, ARF",3.0,12.0,8.666666666666666
"CHF,+ETT\LEFT HEART CATHETERIZATION",1.0,8.0,8.0
"CHF,ACUTE CORONARY SYNDROME",5.0,7.0,10.6
"CHF,ACUTE RENAL FAILURE",1.0,2.0,2.0
"CHF,ARF",6.0,16.0,13.5
"CHF,ARF,STROKE",1.0,11.0,11.0
"CHF,CAD,HYPERTENSION",1.0,19.0,19.0
"CHF,CAD;COPD",1.0,11.0,11.0
"CHF,CARDIOMYOPATHY",2.0,1.0,5.5
"CHF,COPD,HYPERTENSION",14.0,4.0,5.428571428571429
"CHF,FEVER",3.0,7.0,8.333333333333334
"CHF,HYPOTENSION",1.5,10.5,9.5
"CHF,MI",1.0,2.0,2.0
"CHF,MR\LEFT AND RIGHT HEART CATHETERIZATION",2.0,14.0,18.5
"CHF,PLEURAL EFFUSION,CLOTTED GRAFT",1.0,5.0,5.0
"CHF,PNEUMONIA",1.0,12.5,12.5
"CHF,R/O MI",2.6666666666666665,19.666666666666668,17.7
"CHF,R/O MII",5.0,8.0,6.2
"CHF,RENAL INSUFFIENCY",1.0,6.0,6.0
CHF/A-FIB,1.0,15.0,15.0
CHF/CAD/BRADYCARDIA/S/P CABG\DDD PACER/DC CV/SDA,1.0,8.0,8.0
CHF/COPD,4.5,15.0,15.0625
CHF/GIB/RLL PNEUMONIA,10.0,12.0,14.2
CHF/HYPONATREMIA,1.0,5.0,5.0
CHF/PNA,2.0,2.0,3.5
CHF/PNEUMONIA,1.0,13.0,13.0
CHF/SOB,1.0,29.0,29.0
CHF;AORTIC STENOSIS,1.0,37.0,37.0
CHF;AVR REPLACEMENT,1.0,38.0,38.0
CHF;CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; WITH MVR/SDA,3.0,10.0,9.0
CHF;LEFT MAIN DISEASE;3 VESSEL DISEASE,1.0,4.0,4.0
CHF;MITRAL REGURGITATION,1.0,8.0,8.0
CHF;OVARIAN CANCER;TELEMETRY;WEAKNESS,1.0,8.0,8.0
CHF;PLUERAL EFFUSION,3.0,6.0,10.333333333333334
CHF;S/P CABG;TELEMETRY,1.0,12.0,12.0
CHF;SEIZURE,1.0,4.0,4.0
CHF;SEVERE AORTIC STENOSIS,1.0,10.0,10.0
CHF\ AORTIC VALVE & MITRAL VALVE REPLACEMENT/SDA,4.0,7.0,16.5
CHF\AORTIC VALVE REPLACEMENT/SDA,2.0,12.0,18.0
CHF\BENTALL PROCEDURE; PROXIMAL ARCH/SDA,2.0,31.0,20.0
CHF\CORONARY ARTERY BYPASS GRAFT ,2.0,9.0,5.0
CHF\CORONARY ARTERY BYPASS GRAFT /SDA,1.0,8.0,8.0
CHF\CORONARY ARTERY BYPASS GRAFT WITH MVR /SDA,3.0,9.0,9.666666666666666
CHF\CORONARY ARTERY BYPASS GRAFT; EPICARDIAL LEAD PLACEMENT/SDA,1.0,9.0,9.0
CHF\PNEUMONIA\ACUTE RENAL FAILURE,3.0,5.0,6.333333333333333
CHF\STATUS POST MITRAL VALVE REGURGITATION,1.0,4.0,4.0
"CHI,TRAUMA",2.0,4.0,6.0
CHI;FACIAL LACERATION;RIGHT ARM DEGLOVING,1.0,37.0,37.0
CHIARI 1 MALFORMATION/SDA,3.0,3.0,2.3333333333333335
CHIARI I MALFORMATION/SDA,1.0,3.0,3.0
CHIARI MALFORMATION BILATERAL/SDA,1.0,4.0,4.0
CHIARI MALFORMATION SYRINGOMYELIA/SDA,1.0,2.0,2.0
CHIARI MALFORMATION/SDA,1.2666666666666666,3.7333333333333334,3.688888888888889
CHIARIN I MALFORMATION/SDA,1.0,2.0,2.0
CHOALNGITIS;R/O ESOPHAGEAL RUPTURE,1.0,1.0,1.0
CHOELITHIASIS,2.0,0.0,14.0
CHOKING,1.0,0.0,0.0
CHOKING EPISODE,3.0,2.0,7.333333333333333
CHOKING/RESPIRATORY ARREST,1.0,3.0,3.0
CHOLAGIOCARCINOMA/SDA,1.0,18.0,18.0
CHOLANGEAL CARCINOMA/SDA,1.6666666666666667,12.333333333333334,16.0
CHOLANGIA CARCINOMA OF BILE DUCT/SDA,1.0,24.0,24.0
CHOLANGIO CA/SDA,1.0,14.0,14.0
CHOLANGIO CANCER,1.3333333333333333,10.0,9.666666666666666
CHOLANGIO CARCINOMA,1.0,17.0,17.0
CHOLANGIO CARCINOMA /SDA,1.0,25.0,25.0
CHOLANGIO CARCINOMA/SDA,1.2,10.6,8.6
CHOLANGIO CNACER,1.0,29.0,29.0
CHOLANGIO MASS,3.0,14.0,29.333333333333332
CHOLANGIOCARCINOMA,1.0,9.5,9.5
"CHOLANGIOCARCINOMA,DEHYDRATION",2.0,16.0,15.5
CHOLANGIOCARCINOMA/SDA,1.8571428571428572,18.857142857142858,20.571428571428573
CHOLANGIOCARCINOMA;UPPER GASTROINTESTINA BLEED,3.0,2.0,3.3333333333333335
CHOLANGIOCARCINOMA\ PTC/SDA,1.0,11.0,11.0
CHOLANGIOCARCINOMA\BILIARY DRAIN,1.0,3.0,3.0
CHOLANGIOLIOLITIS,2.0,17.0,22.0
CHOLANGITIS,1.512,6.968,7.411657142857143
CHOLANGITIS ABSCESS,1.0,7.0,7.0
"CHOLANGITIS,UPPER GI BLEED",1.0,3.0,3.0
CHOLANGITIS; BILE DUCT OBSTRUCTION,1.0,6.0,6.0
CHOLANGITIS;CHOLECYSTITIS,1.0,11.0,11.0
CHOLANGITIS;DISTAL COMMON BILE DUCT STONE IMPACTION,1.0,14.0,14.0
"CHOLANGITIS;ELEVATED WHITE BLOOD COUNT;FEVER,ETIOLOGY UKNOWN",2.0,17.0,9.5
CHOLANGITIS;FAILED ERCP,1.0,25.0,25.0
CHOLANGITIS;GASTROINTESTINAL BLEED,1.0,5.0,5.0
CHOLANGITIS;METHICILLIN RESISTANT STAPH AUREUS,2.0,5.0,12.5
CHOLANGITIS;MOBITZ TWO,1.0,3.0,3.0
CHOLANGITIS;PANCREATITIS,1.0,14.5,14.5
CHOLANGITIS;RAPID ATRIAL FIBRILLATION,1.0,2.0,2.0
CHOLANGITIS;RENAL FAILURE;CONGESTIVE HEART FAILURE,1.0,16.0,16.0
CHOLANGITIS;SEPSIS,2.0,17.0,9.0
CHOLANGITIS;SEPTIC SHOCK,1.0,25.0,25.0
CHOLANGITIS;STATUS POST LIVER TRANSPLANT,2.0,20.0,25.5
CHOLANGITIS;STENT PLACEMENT,1.0,4.0,4.0
CHOLANGITIS;TELEMETRY,2.0,3.0,4.0
CHOLANGITISEPSIS,2.0,11.0,9.5
CHOLANGITIS\ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY,3.0,10.0,9.333333333333334
CHOLANGITIS\ERCP,1.0,11.0,11.0
CHOLANGITIS\ERCP ,2.3333333333333335,6.666666666666667,7.5
CHOLANIOCARCINOMA - PAIN CONTROL,2.0,15.0,10.0
CHOLECITHIASIS,3.0,8.0,4.666666666666667
CHOLECYSITIS,2.0,5.0,6.5
CHOLECYSITITS,1.0,27.0,27.0
CHOLECYSTIS,1.0,7.0,7.0
CHOLECYSTITIS,1.7523809523809524,9.371428571428572,8.825238095238095
CHOLECYSTITIS/SDA,4.0,11.75,11.65
CHOLECYSTITIS; CHEST PAIN,1.0,15.0,15.0
CHOLECYSTITIS; GALLSTONES/SDA,2.0,8.0,7.0
CHOLECYSTITIS;ATRIAL FIBRILLATION WITH RVR,1.0,3.0,3.0
CHOLECYSTITIS;CARDIOMYOPATHY,1.0,19.0,19.0
CHOLECYSTITIS;CHOLELITHIASIS,1.0,1.0,1.0
CHOLECYSTITIS;RESPIRATORY FAILURE,1.0,-1.0,-1.0
CHOLECYSTITIS;SEPSIS,1.0,4.0,4.0
CHOLECYSTITIS;TELEMETRY,2.0,12.0,9.0
CHOLECYTITIS,1.0,6.0,6.0
CHOLEDOCALITHIASIS,1.0,7.0,7.0
CHOLEDOCHAL CYST;ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY;SPHINCTEROTOMY,1.0,7.0,7.0
CHOLEDOCHOLELITHIASIS/SDA,2.0,5.0,5.0
CHOLEDOCHOLITHIADSIS,1.0,3.0,3.0
CHOLEDOCHOLITHIASIS,1.5454545454545454,6.636363636363637,7.1515151515151505
CHOLEDOCHOLITHIASIS ; SUBQ EMPHYSEMA,1.0,15.0,15.0
CHOLEDOCHOLITHIASIS/SDA,2.0,9.0,11.666666666666668
CHOLEDOCHOLITHIASIS; GASTRIC ADENOCARCINOMA/SDA,1.0,11.0,11.0
CHOLEDOCHOLITHIASIS\ERCP ,1.0,26.666666666666668,26.666666666666668
CHOLEDOCO CYST\ERCP **EAST REMOTE - G.I. ST4**,1.0,29.0,29.0
CHOLEDOCOLITHIASIS,1.0,2.0,2.0
CHOLEDUODENAL FISTULA/SDA,2.0,7.0,5.5
CHOLELITHIASIS,1.6,5.4,6.3
"CHOLELITHIASIS, CHOLECYSTITIS/SDA",2.0,11.0,22.0
CHOLELITHIASIS/ERCP,1.0,7.0,7.0
CHOLELITHIASIS/SDA,2.8,8.0,8.116666666666667
CHOLELITHIASIS; DILATED BILE DUCT,4.0,7.0,9.0
CHOLELITHIASIS; INCISIONAL HERNIA/SDA,1.0,8.0,8.0
CHOLELITHIASIS;S/P ERCP;S/P SPHINCETEROTOMY,1.0,33.0,33.0
CHOLELITHIASIS;SIGNIFICANT PAIN UNRESPONSIVE TO PO MEDICATIONS,1.0,16.0,16.0
CHOLEYCYSTITIS,2.5,10.5,12.666666666666668
CHOLYCYSTITIS,3.0,21.0,23.055555555555554
CHOLYDOCHOLITHIASIS,2.0,2.0,4.5
CHORDAE RUPTURE,1.0,10.0,10.0
CHR/SDA,5.0,5.0,7.6
CHR;AFIB WITH RVR,1.0,22.0,22.0
"CHRON'S DISEASE, NAUSEA, ANEMIA",1.0,35.0,35.0
CHRON'S DISEASE/SDA,1.0,24.0,24.0
CHRON'S DISEASE/VENTRAL HERNIA/SDA,1.0,7.0,7.0
CHRON'S DISEASE;THROMBOCTOPENIA;CVID,4.0,18.0,11.0
CHRON'S FLARE,2.0,54.0,55.0
CHRON'S FLARE-ABDOMINAL ABSCESS,2.0,56.0,55.0
CHRON'S FLARE;RENAL FAILURE,2.0,8.0,10.0
"CHRONIC AORTIC DISSECTION,R/O MYOCARDIAL INFARCTION;TELEMETRY",2.0,6.0,10.0
"CHRONIC AORTIC DISSECTION\RESECTION AORTIC ASCENDING ANEURYSM, CIRCULATORY ARREST",2.0,19.0,14.5
"CHRONIC ASPIRATION, DYSPHAGIA/SDA",1.0,7.0,7.0
CHRONIC ASPIRATION/SDA,1.0,7.5,7.5
CHRONIC BACK PAIN,1.0,9.0,9.0
CHRONIC BILATERAL PLEURAL EFFUSION/SDA,4.0,23.0,17.75
CHRONIC CHOLECYSTITIS,3.0,7.0,8.333333333333334
CHRONIC CHOLECYSTITIS/SDA,2.0,14.0,9.5
CHRONIC DISLOCATION RIGHT HIP/SDA,3.0,5.0,4.666666666666667
CHRONIC DISTAL COMMON BILE DUCT/SDA,2.0,11.0,31.0
CHRONIC DIVERTICULITIS/SDA,1.0,19.0,19.0
"CHRONIC HEPATITIS C; CHIRRHOSIS OF LIVER, ESOPHAGEAL VARICES\ TIPS/SDA",7.0,8.0,9.857142857142858
CHRONIC IMMUNE DEMYELINATING POLYNEUROPATHY,1.0,18.0,18.0
CHRONIC INTERSISTIAL CYSTISTIS/SDA,1.0,7.0,7.0
CHRONIC LYMPHOCYTIC LEUKEMIA,1.5,11.0,14.0
"CHRONIC LYMPHOCYTIC LEUKEMIA,ASCITES,? SMALL BOWEL OBSTRUCTION",2.0,10.0,9.0
CHRONIC LYMPHOCYTIC LEUKEMIA;FAILURE TO THRIVE,4.0,27.0,15.25
CHRONIC LYMPHOCYTIC LEUKEMIA;PNEUMONIA,1.0,21.0,21.0
CHRONIC LYMPHOCYTIC LEUKEMIA;SEIZURE,1.0,14.0,14.0
CHRONIC LYMPHOCYTIC LEUKEMIA;SHORTNESS OF BREATH,1.0,29.0,29.0
CHRONIC LYMPHOCYTIC LEUKEMIA\BONE MARROW TRANSPLANT,2.0,169.0,102.0
CHRONIC MESENTERIC ISCHEMIA,1.0,19.333333333333332,19.333333333333332
CHRONIC MESENTERIC ISCHEMIA/SDA,1.0,8.0,8.0
CHRONIC MYELOGENOUS LEUKEMIA;FEVER;HYPERKALEMIA,1.0,6.0,6.0
CHRONIC MYELOGENOUS LEUKEMIA;LOW WBC,1.0,41.0,41.0
CHRONIC MYELOGENOUS LEUKEMIA;TRANSFUSION REACTION,1.0,12.0,12.0
CHRONIC MYELOGENOUS LEUKEMIA\BONE MARROW TRANSPLANT,2.0,24.0,23.5
CHRONIC MYELOGENOUS LEUKEMIA\INSERTION HICKMAN LINE; W/C-ARM DOUBLE AND 3L CVL,2.0,32.0,25.5
CHRONIC MYELOID LEUKEMIA;LEFT FOOT OSTEOMYELITIS,4.0,27.0,12.0
CHRONIC NEURONAL DYSPLASIA BOWEL,1.0,12.0,12.0
CHRONIC OBST PULM DISEASE,2.525,8.325,9.217045454545454
CHRONIC OBST PULM DISEASE; BILAT PNEUMONIA,1.0,26.0,26.0
CHRONIC OBST PULM DISEASE; RIGHT MAINSTREAM OBSTRUCTION,1.0,4.0,4.0
CHRONIC OBST PULM DISEASE;ASTHMA;CONGESTIVE HEART FAILURE,4.0,35.0,15.0
CHRONIC OBST PULM DISEASE;BRONCHITIS,1.0,6.0,6.0
CHRONIC OBST PULM DISEASE;CO2 NARCOSIS,24.0,3.0,4.333333333333333
CHRONIC OBST PULM DISEASE;CONGESTIVE HEART FAILURE,2.2857142857142856,13.428571428571429,10.6
CHRONIC OBST PULM DISEASE;CONGESTIVE HEART FAILURE;END STAGE RENAL DISEASE;DIABETES MELLITUS;PNEUMONIA,1.0,1.0,1.0
CHRONIC OBST PULM DISEASE;DEHYDRATION,2.0,12.0,8.0
CHRONIC OBST PULM DISEASE;HEMOPTYSIS,2.0,23.5,11.0
CHRONIC OBST PULM DISEASE;NSTEMI,2.0,5.0,5.0
CHRONIC OBST PULM DISEASE;PNEUMONIA,4.8,11.2,13.347179487179488
CHRONIC OBST PULM DISEASE;PNEUMONIA;METHICILLIN RESISTANT STAPH AUREUS;VANCOMYCIN RESISTANT ENTEROCOCCUS,2.0,10.0,10.0
CHRONIC OBST PULM DISEASE;RENAL FAILURE;S/P STERNAL WOUND INFECTION,4.0,9.0,32.0
CHRONIC OBST PULM DISEASE;RESPIRATORY DISTRESS,2.0,2.0,3.0
CHRONIC OBST PULM DISEASE;RESPIRATORY FAILURE,1.5,5.0,5.25
CHRONIC OBST PULM DISEASE;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,5.0,2.0,4.2
CHRONIC OBST PULM DISEASE;SEPSIS,1.0,10.0,10.0
CHRONIC OBST PULM DISEASE;TELEMETRY,4.0,6.0,4.0
CHRONIC OBST PULMONARY DISEASE,1.0,3.0,3.0
CHRONIC OBSTRCUTION PULMONARY DISEASE,2.0,4.0,9.0
CHRONIC OBSTRUCTIVE DISEASE EXACERBATION,12.0,4.0,5.25
CHRONIC OBSTRUCTIVE PULMOMARY DISEASE,2.0,2.0,1.0
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,2.909090909090909,7.181818181818182,8.627272727272727
CHRONIC OBSTRUCTIVE PULMONARY DISEASE EXACERBATION,11.0,9.166666666666666,7.91919191919192
CHRONIC OBSTRUCTIVE PULMONARY DISEASE FLARE,1.5,9.0,8.75
"CHRONIC OBSTRUCTIVE PULMONARY DISEASE,SYNCOPE",1.0,6.0,6.0
CHRONIC OBSTRUCTIVE PULMONARY DISEASE-EXACERBATION,9.5,10.75,8.628787878787879
CHRONIC OBSTRUCTIVE PULMONARY DISEASE;BLEBS IN LUNG,1.0,4.0,4.0
CHRONIC OBSTRUCTIVE PULMONARY DISEASE;CHOLANGITIS,1.0,8.0,8.0
CHRONIC OBSTRUCTIVE PULMONARY DISEASE;HEMOPTYSIS,1.0,3.0,3.0
CHRONIC OBSTRUCTIVE PULMONARY DISEASE;PNEUMONIA,1.0,14.5,14.5
CHRONIC OBSTRUCTIVE PULMONARY DISEASE;RESPIRATORY FAILURE,1.0,9.0,9.0
