,terms
9520,greenstick fracture shaft humerus arm fracture healing
9521,displaced transverse fracture shaft unspecified radius fracture iiia iiib iiic nonunion
9522,unspecified foreign body trachea causing asphyxiation
9523,hot tap water undetermined intent
9524,connective tissue disc stenosis intervertebral foramina extremity
9525, pancreatitis tachypnea increasing ventilator
9526,corneal opacity eye
9527,unspecified physeal fracture ulna arm sequela
9528,bucket-handle tear lateral meniscus injury unspecified knee
9529,obstruction foreign body accidentally body kidney dialysis
9530,unspecified hormone undetermined
9531,unspecified intracranial injury loss consciousness unspecified
9532,nondisplaced fracture lateral cuneiform foot fracture healing
9533,melanin hyperpigmentation
9534,specified injury jugular vein
9535,lead-induced gout unspecified site
9536,discharge firework sequela
9537,fractured dental restorative material loss material
9538,heat exposure board fishing boat sequela
9539,displaced fracture epiphysis separation femur fracture malunion
9540,synovitis tenosynovitis unspecified hand
9541,unspecified wound forearm
9542,Status post industrial accident
9543,displaced transverse fracture unspecified patella fracture nonunion
9544,military operations explosion depth-charge military personnel
9545,Air leak following mitral valve replacement
9546,unspecified fracture unspecified patella fracture malunion
9547,ulcerative chronic pancolitis intestinal obstruction
9548,maternal suspected damage fetus viral disease applicable unspecified
9549,specified crystal arthropathies unspecified hip
9550,loose body shoulder
9551,quadruplet pregnancy quadrachorionic/quadra-amniotic unspecified trimester
9552,maternal anti-d antibodies trimester fetus
9553,person outside three-wheeled injured collision pedestrian nontraffic accident sequela
9554,newborn affected complication labor delivery unspecified
9555,displaced fracture surgical neck humerus fracture nonunion
9556,nondisplaced fracture cervical vertebra sequela
9557,malar fracture fracture
9558,puncture wound foreign body unspecified front thorax penetration thoracic cavity
9559,laceration dorsal vein foot sequela
9560,unspecified retinal disorder
9561,abrasion leg
9562,driver injured collision vehicles traffic accident
9563, vaginal fistula
9564,subluxation unspecified interphalangeal joint unspecified finger
9565,anterior dislocation unspecified humerus
9566,sprain joints ligaments parts head
9567,unspecified retained intraocular foreign body magnetic eye
9568,nondisplaced fracture proximal phalanx thumb fracture nonunion
9569,nondisplaced oblique fracture shaft radius fracture
9570,unspecified atrial flutter
9571,secondary malignant neoplasm digestive organs
9572,reaction internal fixation device of right femur 
9573,presence spectacles lenses
9574,bite abdominal epigastric region penetration peritoneal cavity
9575,laceration blood vessels wrist hand unspecified arm sequela
9576,carcinoma situ soft palate
9577,malignant neoplasm clitoris
9578,nondisplaced transverse fracture unspecified patella fracture healing
9579,unspecified pre-eclampsia childbirth
9580,unspecified wound unspecified leg sequela
9581,localized osteoporosis lequesne
9582,acute lymphangitis sites
9583,pathological fracture neoplastic disease ankle fracture nonunion
9584,pyemic septic embolism childbirth
9585,displaced maisonneuve's fracture leg sequela
9586,abnormal cytological cerebrospinal fluid
9587,endocrine neoplasia men
9588,lumbago sciatica
9589,intentional self-harm blunt object
9590,Cirrhosis
9591,Patient unresponsive
9592,insect bite nonvenomous throat
9593,military operations destruction aircraft enemy fire explosives civilian sequela
9594,disseminated histoplasmosis capsulati
9595,dislocation metacarpophalangeal joint middle finger sequela
9596,melanoma situ unspecified ear auricular canal
9597,Left lower extremity swelling
9598,strain fascia tendon abdomen sequela
9599,calcaneal spur foot
9600,fertility preservation
9601, back pain
9602,influenza unidentified influenza virus specified pneumonia
9603,greenstick fracture shaft humerus arm sequela
9604,subluxation carpometacarpal joint unspecified hand
9605,alopecia capitis totalis
9606,medicaments undetermined sequela
9607,fractures pelvis unstable disruption pelvic fracture nonunion
9608,driver transport injured noncollision transport accident nontraffic accident
9609,acquired stenosis ear canal unspecified bilateral
9610,aphagia
9611,nondisplaced fracture lateral condyle tibia fracture
9612,dislocation distal unspecified ulna
9613,bite lesser toes damage nail sequela
9614,anterior synechiae iris bilateral
9615,aggressive periodontitis localized slight
9616,bite wrist
9617,burn unspecified degree axilla
9618,non-pressure chronic ulcer unspecified heel midfoot limited breakdown skin
9619,nondisplaced subtrochanteric fracture unspecified femur sequela
9620,displaced spiral fracture shaft ulna arm fracture iiia iiib iiic
9621,eccrine sweat disorder unspecified
9622,soft tissue disorders overuse pressure unspecified arms
9623,nondisplaced fracture head unspecified radius fracture iiia iiib iiic healing
9624,monocytosis symptomatic
9625,streptococcal arthritis unspecified elbow
9626,specified diabetes mellitus hyperglycemia
9627,pregnant gestational carrier
9628,motorcycle passenger injured collision pick-up truck van nontraffic accident sequela
9629,maternal malpresentation fetus unspecified fetus
9630,unspecified superficial injuries front thorax
9631,viral conjunctivitis unspecified
9632,secondary gout shoulder
9633,displaced avulsion fracture ischium fracture
9634,human herpesvirus infection
9635,anterior displaced fracture sternal clavicle fracture healing
9636,burn degree foot
9637,fall natural body water striking water surface causing drowning submersion sequela
9638,charcot's joint unspecified hip
9639,sprain carpal joint unspecified wrist
9640,constant exophthalmos eye
9641,unspecified bus occupant injured collision vehicles nontraffic accident sequela
9642,person outside bus injured collision pedestrian traffic accident
9643,respiratory disorder nec
9644,regurgitation rumination newborn
9645,corrosion unspecified degree unspecified ear ear drum sequela
9646,specified injury blood vessels forearm unspecified arm sequela
9647,nondisplaced comminuted fracture shaft fibula fracture iiia iiib iiic nonunion
9648,unspecified fracture unspecified calcaneus fracture nonunion
9649,lesion unspecified lumbar spinal cord sequela
9650,idiopathic scoliosis cervicothoracic region
9651,meningococcal infections
9652,meniscus derangements unspecified lateral meniscus knee
9653,person boarding alighting bus injured collision two- three-wheeled
9654,degenerative myopia macular hole bilateral eye
9655,fracture parts pelvis sequela
9656,pathological fracture neoplastic disease unspecified shoulder fracture malunion
9657,physeal arrest leg
9658,quintuplets some liveborn
9659,persistent hematuria diffuse crescentic glomerulonephritis
9660,maternal fetal problem unspecified unspecified trimester fetus
9661,nondisplaced comminuted fracture shaft unspecified tibia fracture iiia iiib iiic nonunion
9662,personal hodgkin lymphoma
9663,meningismus
9664,unspecified foreign body respiratory tract unspecified causing asphyxiation sequela
9665,unspecified injury intercostal blood vessels
9666,osteoporosis pathological fracture humerus fracture nonunion
9667,epithelial juvenile corneal dystrophy
9668,inferior subluxation humerus sequela
9669,unspecified injury inferior vena cava
9670,passenger fire engine injured nontraffic accident sequela
9671,nondisplaced avulsion fracture ilium fracture nonunion
9672,nondisplaced bicondylar fracture tibia fracture iiia iiib iiic malunion
9673,motorcycle driver injured collision nonmotor nontraffic accident
9674,person outside injured collision two- three-wheeled traffic accident sequela
9675,osteopathy poliomyelitis unspecified forearm
9676,sprain joints ligaments parts head sequela
9677,subluxation metatarsophalangeal joint unspecified toes sequela
9678,induced diabetes mellitus neurological complications diabetic neuropathy unspecified
9679,unspecified superficial injury head sequela
9680,abnormal medicaments specimens respiratory organs thorax
9681,bursitis hip hip
9682,schistosomiasis schistosoma mansoni intestinal schistosomiasis
9683,unspecified fracture unspecified foot fracture nonunion
9684,tributary branch retinal vein occlusion eye retinal neovascularization
9685,displaced fracture medial condyle unspecified femur fracture iiia iiib iiic nonunion
9686,antenatal cervical length
9687,forms sporotrichosis
9688,motorcycle driver injured collision two- three-wheeled nontraffic accident
9689,immunization carried out because decision reason
9690,underdosing unspecified primarily affecting gastrointestinal sequela
9691,displaced comminuted fracture shaft radius unspecified arm fracture iiia iiib iiic malunion
9692,failure left heart failure
9693,hot saucepan skillet
9694,unspecified juvenile osteochondrosis unspecified hand
9695,drowning submersion jumping crushed unspecified watercraft
9696,superficial bite unspecified knee
9697,disorder lacrimal unspecified
9698,nondisplaced apophyseal fracture femur fracture healing
9699,vertebral dislocation sacral sacrococcygeal region
9700,displaced transverse fracture unspecified patella sequela
9701,physeal fracture humerus unspecified arm fracture
9702,nosocomial
9703,follicular lymphoma extranodal solid organ sites
9704,insect bite nonvenomous anus sequela
9705, right pontomedullary junction hemorrhage
9706,dysplasia vulva unspecified
9707,sprain metacarpophalangeal joint thumb sequela
9708,specified disorders ear
9709,unspecified injury saphenous vein hip thigh unspecified leg sequela
9710,displaced comminuted fracture shaft unspecified tibia fracture iiia iiib iiic healing
9711,unspecified superficial injury unspecified head sequela
9712,mental health services victim abuse
9713,major contusion spleen sequela
9714,postdysenteric arthropathy unspecified hip
9715,photokeratitis eye
9716,atherosclerosis artery bypass grafts unspecified unstable angina pectoris
9717,dislocation unspecified parts lumbar spine pelvis sequela
9718,displaced oblique fracture shaft ulna fracture
9719,laryngeal diphtheria
9720,unspecified fracture shaft unspecified tibia fracture iiia iiib iiic nonunion
9721,specified diabetes mellitus moderate nonproliferative diabetic retinopathy macular edema bilateral
9722,ulcerative colitis fistula
9723,crushing injury unspecified foot sequela
9724,atherosclerosis autologous artery artery bypass grafts forms angina pectoris
9725,malignant neoplasm overlapping sites heart mediastinum pleura
9726,unspecified occupant bus injured collision pick-up truck van traffic accident sequela
9727,unspecified injury muscles tendons anterior leg leg
9728,benign neoplasm duodenum
9729,Patient vomited during intubation procedure in the field
9730,familial chondrocalcinosis unspecified ankle foot
9731,unspecified atherosclerosis autologous vein bypass grafts extremities bilateral legs
9732,foreign body bladder sequela
9733,malignant neoplasm overlapping sites genital organs
9734,person boarding alighting pedal cycle injured collision two- three-wheeled
9735,adhesions foreign body accidentally body unspecified sequela
9736,person outside transport injured collision two- three-wheeled traffic accident
9737,malignant neoplasm cranial nerves
9738,chronic embolism thrombosis femoral vein bilateral
9739,scissors
9740,specified injury peroneal artery unspecified leg sequela
9741,induced diabetes mellitus proliferative diabetic retinopathy combined traction retinal detachment rhegmatogenous retinal detachment unspecified eye
9742,specified malignant neoplasm skin parts face
9743,neoplasm unspecified behavior digestive
9744,unspecified chronic gastritis bleeding
9745,displaced fracture avulsion medial epicondyle humerus sequela
9746,unspecified fracture metacarpal bone unspecified hand fracture nonunion
9747,nondisplaced fracture medial unspecified acetabulum fracture healing
9748,psychological abuse suspected sequela
9749,specified injuries unspecified wrist hand fingers
9750,soft tissue disorders overuse pressure sites
9751,fracture manubrium fracture healing
9752,presence urogenital implants
9753,disorders gamma aminobutyric metabolism
9754,congenital malformation knee
9755,displaced pilon fracture unspecified tibia fracture iiia iiib iiic healing
9756,congenital pneumonia staphylococcus
9757,cystic fibrosis manifestations
9758,displaced fracture lesser trochanter femur fracture healing
9759,Recent stroke following cardiothoracic surgery
9760,pain thigh
9761,internal ophthalmoplegia bilateral
9762,meniscus derangements unspecified lateral meniscus unspecified knee
9763,osteoporosis
9764,Breast cancer needs anticoagulation
9765,laceration ulnar artery forearm arm sequela
9766,fitting adjustment prosthetic devices
9767,laceration achilles tendon
9768,subluxation carpometacarpal joint hand sequela
9769,pedestrian foot injured collision pedal cycle unspecified whether traffic nontraffic accident
9770,Acute on chronic renal failure ruleout obstruction
9771,telogen effluvium
9772,physeal fracture unspecified fibula fracture malunion
9773,chronic pulmonary embolism
9774,nondisplaced comminuted fracture shaft ulna unspecified arm fracture nonunion
9775,Status post esophagogastrectomy
9776,osteoporosis pathological fracture unspecified hand fracture malunion
9777,injury superior mesenteric artery sequela
9778,specified injuries shoulder arm sequela
9779,nondisplaced fracture shaft metacarpal bone hand fracture malunion
9780,activity roller skating inline skateboarding
9781,intervertebral disc displacement lumbar region
9782,their accidental unintentional sequela
9783,partial traumatic amputation unspecified lesser toes
9784,abscess tendon sheath thigh
9785,unspecified effects drowning nonfatal submersion
9786,unspecified war operations cessation hostilities civilian
9787,pedal cycle driver injured collision fixed stationary object traffic accident sequela
9788,unspecified occupant bus injured collision railway train railway nontraffic accident sequela
9789,ectopic perineal testis unilateral
9790,burn internal genitourinary organs sequela
9791,foreign object esophagus causing injury sequela
9792,traumatic transmetacarpal amputation unspecified hand sequela
9793,intentional self-harm machine gun discharge
9794,inhalant abuse inhalant-induced disorder
9795,injury ulnar nerve arm unspecified arm sequela
9796,injury nerves hip thigh unspecified leg sequela
9797,Question pontine bleed
9798,skin lesions yaws
9799,displaced fracture anterior calcaneus fracture malunion
9800,superficial foreign body thumb
9801,malignant neoplasm unspecified bones articular cartilage limb
9802,unspecified fracture unspecified patella fracture iiia iiib iiic healing
9803,submersion unspecified sinking 
9804,excessive interocclusal distance fully erupted teeth
9805,juvenile osteochondrosis patella unspecified knee
9806,febrile convulsions
9807,chronic osteomyelitis ankle foot
9808,nondisplaced osteochondral fracture patella fracture healing
9809, difficulty weaning from vent
9810,rupture cardiac hemopericardium complication acute myocardial infarction
9811,rubella pneumonia
9812,infective spondylopathies thoracic region
9813,insect bite nonvenomous unspecified ankle
9814,person outside special industrial injured traffic accident sequela
9815,osteoporosis pathological fracture forearm sequela
9816,memory deficit cerebrovascular disease
9817,passenger transport injured collision pedal cycle nontraffic accident
9818,flexion deformity unspecified knee
9819,toxic effect harmful assault sequela
9820,fracture femur insertion orthopedic implant joint prosthesis bone plate unspecified leg
9821,abnormal specimens genital organs
9822,asphyxiation smothering assault
9823,follicular lymphoma grade iiia spleen
9824,transverse atypical femoral fracture leg fracture nonunion
9825,neonatal tetany deficiency
9826,nondisplaced fracture coronoid unspecified ulna fracture iiia iiib iiic
9827,spondylosis radiculopathy site unspecified
9828, IV
9829,unspecified placental disorder unspecified trimester
9830,burn unspecified degree unspecified thumb nail sequela
9831,unspecified occupant fire engine injured nontraffic accident sequela
9832,displacement surgically created arteriovenous fistula sequela
9833,laceration foreign body penis
9834,displaced fracture avulsion lateral epicondyle humerus sequela
9835,obsessional thoughts acts
9836,zoster ocular disease unspecified
9837,arrest underlying cardiac condition
9838,crushing injury head unspecified sequela
9839,displaced fracture posterior talus fracture
9840,cardiac septal defect acquired
9841,acute osteomyelitis ankle foot
9842,neoplasm uncertain behavior sublingual salivary glands
9843,disorder parathyroid gland unspecified
9844,nondisplaced comminuted fracture shaft ulna arm fracture iiia iiib iiic nonunion
9845,unspecified hearing loss unspecified ear
9846,pathological fracture shoulder sequela
9847,drug-induced chronic gout unspecified hand tophus tophi
9848,smith's fracture radius fracture healing
9849,Shoulder pain
9850,chronic embolism thrombosis unspecified vein
9851,kidney unspecified
9852, VT question pneumonia
9853,Elevated bilirubin fever ro cholangitis
9854,nondisplaced extraarticular fracture calcaneus sequela
9855,breakdown bone devices implants grafts sequela
9856,prophylactic removal breast
9857,specified injuries unspecified hip
9858,postprocedural seroma endocrine organ
9859,displaced trimalleolar fracture leg fracture nonunion
9860,bursitis ankle foot
9861,nondisplaced fracture lateral cuneiform unspecified foot fracture healing
9862,unspecified injury ulnar artery wrist hand arm sequela
9863,unspecified juvenile rheumatoid arthritis unspecified hand
9864,Assess for air in stomach assess pneumothorax
9865,displaced transverse fracture shaft humerus arm fracture malunion
9866,rheumatoid polyneuropathy rheumatoid arthritis unspecified site
9867,minor laceration femoral vein hip thigh leg sequela
9868,specified viral hemorrhagic fevers
9869, fevers
9870,strain fascia tendon pelvis
9871,laceration prostate
9872,lead-induced chronic gout sites tophus tophi
9873,Subarachnoid hemorrhage transferred from outside hospital
9874,pre-pubertal vaginal bleeding
9875,unspecified chorioretinal inflammation bilateral
9876,inflammatory jaws
9877,medial epicondylitis unspecified elbow
9878,schizoid personality disorder
9879,unspecified injury extensor fascia tendon index finger forearm sequela
9880,fall chair
9881,nonspecific abnormal lung field
9882,age-related osteoporosis pathological fracture humerus fracture
9883,accident flat-bottomed pedestrian conveyance
9884,profound intellectual disabilities
9885,fall skateboard
9886,injury unspecified muscles tendons leg unspecified leg
9887,burn unspecified degree unspecified toes nail
9888,malignant neoplasm unspecified testis unspecified whether descended undescended
9889,passenger three-wheeled injured collision fixed stationary object nontraffic accident
9890, methylene blue
9891,hemiplegia hemiparesis cerebrovascular disease affecting unspecified
9892,fracture ulna fracture iiia iiib iiic healing
9893,bronchitis streptococcus
9894,traumatic rupture ligament little finger metacarpophalangeal interphalangeal joint sequela
9895,Assault to head
9896,biliuria
9897,ganglion unspecified shoulder
9898,hemiplegia hemiparesis nontraumatic subarachnoid hemorrhage affecting non-dominant
9899,unspecified opioid-induced disorder
9900,lateral subluxation unspecified ulnohumeral joint sequela
9901,unspecified fracture ilium fracture healing
9902,malignant neoplasm commissure lip unspecified
9903,burn localized fire board powered watercraft
9904,diabetes mellitus underlying proliferative diabetic retinopathy traction retinal detachment macula unspecified eye
9905,forms nystagmus
9906,passenger transport injured collision fixed stationary object traffic accident sequela
9907,family malignant neoplasm testis
9908,unspecified injury flexor fascia tendon index finger wrist hand sequela
9909,partial traumatic transphalangeal amputation unspecified finger sequela
9910,retinal micro-aneurysms unspecified eye
9911,fatigue fracture vertebra lumbar region sequela fracture
9912,burn degree sites shoulder limb wrist hand sequela
9913,displaced fracture proximal phalanx middle finger sequela
9914,garden yard non-institutional residence place occurrence
9915,foreign body parts alimentary tract sequela
9916,unspecified injury elbow
9917,chronic laryngotracheitis
9918,submersion being washed from other unpowered 
9919,legal intervention means unspecified suspect injured sequela
9920,hypertensive retinopathy eye
9921,unspecified superficial injury scrotum testes
9922,ultralight microlight powered-glider collision injuring occupant
9923,laceration axillary artery unspecified sequela
9924,displaced fracture posterior column ilioischial unspecified acetabulum fracture
9925,Pneumonia Hemophilus influenzae
9926,war operations unspecified explosion fragments civilian
9927,secondary osteonecrosis radius
9928,injury extensor fascia tendon middle finger wrist hand sequela
9929,displaced segmental fracture shaft unspecified tibia fracture iiia iiib iiic healing
9930,Rightsided weakness SP intracranial stent placement
9931,ossification unspecified hand
9932,non-in-line roller-skater colliding stationary object sequela
9933,unspecified injury portal vein
9934,lichen sclerosus atrophicus
9935,social pragmatic communication disorder
9936,marginal perforations tympanic membrane bilateral
9937,displaced fracture avulsion lateral epicondyle humerus fracture nonunion
9938,counseling family member abuser
9939,aural myiasis
9940,vitreous membranes strands unspecified eye
9941,military operations gasoline bomb civilian
9942,laceration lesser saphenous vein leg unspecified leg
9943,blister nonthermal hip sequela
9944,white matter disease unspecified
9945,bursal cyst shoulder
9946,fetal syndrome
9947,Statuspost coronary artery bypass surgery
9948,burn degree unspecified fingers nail thumb
9949,Status post pheochromocytoma resection
9950,unspecified injury fascia tendon triceps unspecified arm
9951,displaced comminuted fracture shaft radius arm fracture
9952,injury muscles tendons anterior leg leg
9953,unspecified fracture patella fracture iiia iiib iiic malunion
9954,corrosion degree unspecified wrist
9955,pedestrian skateboard injured collision two- three-wheeled unspecified whether traffic nontraffic accident
9956,symptoms signs sensations perceptions
9957,unspecified injury unspecified muscles fascia tendons forearm arm
9958,unspecified primarily affecting autonomic nervous intentional self-harm sequela
9959,laceration fallopian tube bilateral sequela
9960,complication carotid arterial graft bypass
9961,unilateral inguinal hernia obstruction gangrene
9962,paradoxical insomnia
9963,displaced comminuted fracture shaft humerus arm fracture nonunion
9964,unspecified degenerative vascular disorders unspecified ear
9965,transitory metabolic disturbances newborn
9966,newborn affected abnormality membranes unspecified
9967,fracture superior rim pubis fracture healing
9968,feeding disorders infancy childhood
9969,corrosion degree knee
9970,assault unspecified sharp object sequela
9971,cerebral infarction thrombosis bilateral posterior cerebral arteries
9972,salter-harris physeal fracture phalanx toe fracture malunion
9973,displaced subtrochanteric fracture femur sequela
9974,displaced spiral fracture shaft unspecified fibula fracture nonunion
9975,osteopathy diseases shoulder
9976,war operations explosion improvised explosive device ied military personnel
9977,frostbite tissue necrosis foot sequela
9978,cerebral infarction unspecified occlusion stenosis bilateral carotid arteries
9979,displaced fracture ulna styloid fracture healing
9980,onchocerciasis endophthalmitis
9981,bilateral inguinal testes
9982,crushing injury middle finger sequela
9983,malignant neoplasm unspecified choroid
9984,acute disseminated demyelination unspecified
9985,nausea vomiting unspecified
9986,displaced fracture glenoid cavity scapula shoulder fracture nonunion
9987,spondylosis myelopathy radiculopathy thoracolumbar region
9988,strain muscles fascia tendons shoulder arm unspecified arm sequela
9989,laceration unspecified muscles tendons leg unspecified leg sequela
9990,reaction internal fixation device of spine 
9991,displaced fracture radial styloid sequela
9992,constant exophthalmos unspecified eye
9993,sprain calcaneofibular ligament unspecified ankle sequela
9994,angiostrongyliasis parastrongylus cantonensis
9995,gastric contents parts respiratory tract causing injury sequela
9996,displaced fracture distal phalanx finger sequela
9997, HIV nonHodgkins lymphoma with
9998,rheumatoid arthritis rheumatoid factor wrist organ systems
9999,acute reactive otitis externa unspecified ear
10000,traumatic amputation between elbow wrist arm
10001,ulcerative blepharitis eye unspecified eyelid
10002,displaced comminuted fracture unspecified patella fracture iiia iiib iiic
10003,erectile disorder
10004,decreased fetal movements unspecified trimester applicable unspecified
10005,sprain unspecified cruciate ligament knee
10006,paralytic syndrome cerebral infarction affecting non-dominant
10007,persistent headache ndph
10008,physeal fracture unspecified fibula sequela
10009,psychoactive abuse psychoactive substance-induced anxiety disorder
10010,malignant neoplasm rectum
10011,low-tension glaucoma unspecified eye mild stage
10012,acute embolism thrombosis specified vein extremity bilateral
10013,labor delivery complicated vascular lesion cord fetus
10014,staphylococcal arthritis elbow
10015,acute myocarditis
10016,age-related osteoporosis pathological fracture unspecified forearm fracture
10017,arthritis bacteria knee
10018,fall water striking water surface causing drowning submersion
10019,pain unspecified forearm
10020,Ruleout aspiration
10021,injury trigeminal nerve unspecified
10022,abrasion unspecified thigh
10023,animal-rider injured collision railway train railway sequela
10024,endocrine neoplasia men syndrome unspecified
10025,laceration unspecified tendon ankle foot foot sequela
10026,injury body pancreas sequela
10027,nonpowered-aircraft accidents injuring occupant sequela
10028,unspecified injury extensor fascia tendon forearm unspecified arm
10029,lymphocyte-rich hodgkin lymphoma intra-abdominal lymph nodes
10030,nondisplaced fracture navicular scaphoid foot fracture
10031,unspecified occupant transport injured collision pedal cycle nontraffic accident
10032,acute pansinusitis
10033,specified injuries unspecified neck sequela
10034,contusion laceration cerebrum loss consciousness
10035,war operations fragments improvised explosive device ied military personnel
10036,retained foreign body fragments unspecified material
10037,nondisplaced supracondylar fracture intercondylar fracture humerus fracture malunion
10038,constriction cavity sequela
10039,displaced bimalleolar fracture leg fracture iiia iiib iiic
10040,unspecified injury tendon extensor toe ankle foot unspecified foot
10041,stroke anterior dissection
10042,displaced segmental fracture shaft humerus unspecified arm fracture
10043,crushing injury knee
10044,displaced fracture distal phalanx unspecified lesser toes fracture nonunion
10045,crocodile
10046,underdosing nonadministration necessary medicament
10047,infarction spleen
10048,retained nonmagnetic fragments
10049,unspecified injury vein forearm arm
10050,infestations
10051,nondisplaced fracture neck metacarpal bone hand fracture malunion
10052,specified disorders middle ear mastoid diseases unspecified ear
10053,Pulmonary embolism
10054,malignant neoplasm ventral surface tongue
10055,specified health status
10056,puncture wound foreign body larynx sequela
10057,laceration prostate sequela
10058,unspecified injury blood vessels thorax unspecified sequela
10059, subdural hemorrhage assess subdural
10060,fall out through building
10061,superficial bite wrist sequela
10062,breakdown urinary catheter sequela
10063,hot sequela
10064,pedestrian roller-skates injured collision transport bus unspecified whether traffic nontraffic accident sequela
10065,unspecified physeal fracture metatarsal fracture nonunion
10066,unspecified injury blood vessels wrist hand arm sequela
10067,partial traumatic amputation hip joint
10068,war operations forms conventional warfare military personnel
10069,nondisplaced midcervical fracture femur fracture iiia iiib iiic
10070,rheumatoid arthritis unspecified hip organs systems
10071, anemia and gi bleed 
10072,displaced fracture unspecified radial styloid fracture iiia iiib iiic
10073,specified injury saphenous vein hip thigh leg sequela
10074,unspecified injury intrinsic fascia tendon middle finger wrist hand sequela
10075,hostility towards scapegoating child
10076,foreign object pharynx causing asphyxiation
10077,traumatic arthropathy unspecified site
10078,ankylosis wrist
10079,specified injury brachial artery unspecified
10080,teeth trauma 
10081,calcific tendinitis shoulder
10082,unspecified injury unspecified innominate subclavian artery sequela
10083,prophylactic immunotherapy respiratory syncytial virus rsv
10084,insect bite nonvenomous scrotum testes sequela
10085,specified inflammation vagina vulva
10086,dilated cardiomyopathy
10087,articular cartilage disorders unspecified hip
10088,Elevated white count mental status change
10089,secondary malignant neoplasm cerebral meninges
10090,displaced comminuted fracture shaft femur fracture iiia iiib iiic malunion
10091,fracture occiput unspecified fracture nonunion
10092,transection partial abdomen
10093,nondisplaced fracture metatarsal bone unspecified foot fracture healing
10094,unspecified alcohol-induced mood disorder
10095,pre-existing secondary hypertension puerperium
10096,acute chronic respiratory failure hypoxia
10097,osteopathy diseases arm
10098,unspecified fracture unspecified wrist hand fracture healing
10099,nondisplaced fracture unspecified tibial spine fracture iiia iiib iiic
10100,Reassess Swan pulmonary arterial catheter placement in 77 year
10101,immersion hand unspecified hand
10102,displaced fracture coronoid unspecified ulna fracture iiia iiib iiic nonunion
10103,anaplastic cell lymphoma alk-positive spleen
10104,laparoscopic surgical converted
10105,unspecified fracture acetabulum fracture nonunion
10106,bent bone unspecified radius sequela
10107,Left upper lobe pneumonia
10108,nondisplaced fracture neck radius sequela
10109,unspecified wound unspecified genital organs
10110,rheumatoid vasculitis rheumatoid arthritis knee
10111,physeal arrest proximal humerus
10112,blister nonthermal scalp sequela
10113,traumatic arthropathy ankle foot
10114,foot drop foot
10115,partial traumatic amputation forearm unspecified
10116,major laceration femoral artery leg
10117,paralytic syndrome nontraumatic intracranial hemorrhage affecting non-dominant
10118,traumatic amputation lesser toe sequela
10119,contracture unspecified site
10120,exposure keratoconjunctivitis unspecified eye
10121,unspecified anterior urethral stricture
10122,hypercementosis
10123,unspecified subluxation unspecified toes
10124, status post reoperative sinus valsalva aortic 
10125,unspecified healthcare provider perpetrator maltreatment neglect
10126,nondisplaced supracondylar fracture intercondylar fracture unspecified humerus fracture nonunion
10127,specified injury unspecified muscles fascia tendons thigh thigh sequela
10128,Reexploration for gastric leak
10129, threevessel coronary artery disease 
10130,laceration dorsal vein unspecified foot sequela
10131,traumatic compartment syndrome abdomen
10132,terrorism suicide bomber public safety official injured sequela
10133,disease gallbladder unspecified
10134,dislocation wrist hand sequela
10135,74 yo man status post circumcision
10136,acute lymphoblastic leukemia relapse
10137,strain flexor fascia tendon finger forearm
10138,dependence wheelchair
10139,induced diabetes mellitus diabetic macular edema resolved eye
10140,nondisplaced transcondylar fracture humerus fracture malunion
10141,pathological fracture neoplastic disease radius sequela
10142,chronic osteomyelitis draining sinus unspecified humerus
10143,adrenogenital disorders
10144,acute rheumatic myocarditis
10145,motorcycle passenger injured collision pedestrian nontraffic accident
10146,displaced segmental fracture shaft radius arm sequela
10147,displaced fracture proximal navicular scaphoid bone wrist fracture
10148,Pleural effusion pulmonary edema
10149,balanitis
10150,nondisplaced comminuted fracture shaft tibia fracture iiia iiib iiic malunion
10151,loosening unspecified internal prosthetic joint sequela
10152,pathological fracture disease ulna fracture
10153,spondylosis radiculopathy cervical region
10154,maternal retroversion gravid uterus trimester
10155,acute nephritic syndrome diffuse mesangial proliferative glomerulonephritis
10156,malignant neoplasm nerves unspecified
10157,discontinuity dislocation ear ossicles bilateral
10158,opacity cornea bilateral
10159,direct infection hand infectious parasitic diseases
10160,unspecified occupant transport injured collision vehicles traffic accident
10161,antenatal isoimmunization
10162,foreign body object entering through skin
10163,disease bartholin's gland unspecified
10164,wasting atrophy sites
10165,nondisplaced fracture cuboid bone foot fracture nonunion
10166,Redo sternotomy tricuspid valve annuloplasty repair
10167,retinal vascular appearance bilateral
10168,transient loss eye
10169,war operations firearms pellets military personnel
10170,contusion unspecified hand
10171,displacement breast prosthesis implant
10172,Oxygen desaturation
10173,hormone assault
10174,abuse psychotic disorder hallucinations
10175,flail chest sequela
10176,non-follicular diffuse lymphoma unspecified unspecified site
10177,unspecified primarily affecting cardiovascular intentional self-harm sequela
10178,subluxation midcarpal joint wrist
10179,pouchitis
10180,nondisplaced fracture surgical neck humerus fracture healing
10181,displaced fracture lesser tuberosity humerus sequela
10182,cluster headache syndrome unspecified intractable
10183,blister nonthermal abdominal
10184,unspecified injury saphenous vein leg unspecified leg sequela
10185,nondisplaced fracture medial condyle unspecified tibia fracture nonunion
10186,unspecified occupant pick-up truck van injured noncollision transport accident nontraffic accident
10187,fall natural body water striking water surface causing injury
10188,displaced fracture shaft unspecified clavicle fracture nonunion
10189,superficial foreign body thigh
10190,moderate laceration body pancreas sequela
10191,fracture patella sequela
